temp;r_ntc;u_adc;adc_value;resolution
386,5061121;0,03444905936965603;3,2967781303392725;4093;37,1646291152
362,150971129;0,045943304007820096;3,2959726629240906;4092;24,3551409712
344,298915855;0,05744316792959925;3,295167195508909;4091;17,8520552739
330,337960303;0,06894865525671934;3,294361728093727;4090;13,9609555517
318,947503267;0,08045977011494498;3,293556260678545;4089;11,3904570364
309,372094311;0,09197651663404827;3,2927507932633633;4088;9,57540895603
301,141340245;0,10349889894788178;3,2919453258481814;4087;8,23075406571
293,943586675;0,11502692119432645;3,2911398584329996;4086;7,19775356989
287,562302368;0,12656058751530197;3,2903343910178178;4085;6,38128430719
281,841283199;0,13809990205680855;3,289528923602636;4084;5,72101916937
276,664354321;0,14964486896889562;3,288723456187454;4083;5,17692887733
271,942901589;0,16119549240568265;3,2879179887722723;4082;4,72145273281
267,607879949;0,17275177652535922;3,2871125213570904;4081;4,33502163935
263,604505858;0,18431372549019542;3,2863070539419086;4080;4,00337409143
259,888624052;0,1958813434665314;3,2855015865267267;4079;3,71588180557
256,424154903;0,20745463462481917;3,284696119111545;4078;3,4644691494
253,181259862;0,21903360313955988;3,283890651696363;4077;3,24289504088
250,1349965;0,23061825318939788;3,2830851842811812;4076;3,04626336157
247,264314943;0,242208588957058;3,2822797168659994;4075;2,87068155709
244,551297183;0,253804614629356;3,2814742494508176;4074;2,71301776058
241,980572295;0,2654063343972508;3,2806687820356357;4073;2,57072488822
239,538861121;0,2770137524557923;3,279863314620454;4072;2,44171117342
237,214617638;0,28862687300417345;3,279057847205272;4071;2,32424348345
234,997743481;0,3002457002456991;3,27825237979009;4070;2,21687415648
232,879358516;0,3118702383878067;3,2774469123749084;4069;2,11838496486
230,851614798;0,3235004916420874;3,2766414449597265;4068;2,02774371816
228,907544487;0,33513646422424404;3,2758359775445447;4067;1,94407031104
227,040934577;0,346778160354154;3,275030510129363;4066;1,86660990979
225,246222986;0,3584255842558377;3,274225042714181;4065;1,79471159137
223,518411798;0,37007874015747966;3,273419575298999;4064;1,72781118821
221,852994391;0,38173763229140745;3,2726141078838173;4063;1,66541740669
220,245893876;0,393402264894144;3,2718086404686355;4062;1,60710051536
218,693410809;0,4050726422063553;3,2710031730534537;4061;1,55248306645
217,192178571;0,41674876847290276;3,270197705638272;4060;1,50123223815
215,739125093;0,428430647942843;3,26939223822309;4059;1,45305347787
214,331439897;0,44011828486939675;3,268586770807908;4058;1,40768519652
212,966545579;0,4518116835099799;3,2677813033927263;4057;1,36489431742
211,642073056;0,4635108481262351;3,2669758359775445;4056;1,32447252378
210,355839975;0,47521578298396894;3,2661703685623626;4055;1,28623308068
209,105831843;0,4869264923532355;3,265364901147181;4054;1,25000813186
207,890185452;0,4986429805082633;3,264559433731999;4053;1,21564639082
206,707174291;0,5103652517275388;3,263753966316817;4052;1,18301116093
205,55519566;0,5220933102937542;3,2629484989016353;4051;1,15197863147
204,432759254;0,5338271604938283;3,2621430314864535;4050;1,12243640567
203,338477029;0,545566806618917;3,2613375640712716;4049;1,09428222513
202,271054168;0,5573122529644237;3,26053209665609;4048;1,06742286059
201,229281024;0,5690635038299992;3,259726629240908;4047;1,04177314451
200,212025899;0,5808205635195209;3,258921161825726;4046;1,01725512481
199,218228577;0,5925834363411662;3,2581156944105443;4045;0,993797322381
198,246894499;0,6043521266073177;3,2573102269953624;4044;0,971334078092
